iter	Passed	Remaining
0	165	826476
1	319	798944
2	467	778198
3	610	762400
4	756	755311
5	909	756834
6	1052	750628
7	1203	750788
8	1361	754969
9	1506	751836
10	1649	748190
11	1793	745316
12	1938	743446
13	2086	743105
14	2222	738669
15	2370	738326
16	2515	737271
17	2652	734058
18	2791	731805
19	2938	731584
20	3087	732054
21	3232	731366
22	3373	729908
23	3509	727596
24	3652	726773
25	3793	725691
26	3935	724947
27	4084	725298
28	4235	725946
29	4375	724877
30	4524	725282
31	4672	725411
32	4818	725247
33	4958	724295
34	5099	723469
35	5240	722563
36	5383	722136
37	5529	721994
38	5682	722844
39	5825	722371
40	5967	721828
41	6106	720897
42	6246	720108
43	6395	720358
44	6533	719368
45	6680	719465
46	6827	719453
47	6973	719414
48	7120	719481
49	7264	719177
50	7410	719143
51	7554	718796
52	7700	718769
53	7845	718609
54	7993	718665
55	8132	718015
56	8276	717770
57	8416	717134
58	8560	716902
59	8699	716226
60	8839	715673
61	8981	715318
62	9119	714630
63	9258	714075
64	9399	713649
65	9537	713035
66	9682	712872
67	9828	712835
68	9974	712836
69	10115	712400
70	10263	712531
71	10410	712550
72	10556	712462
73	10692	711799
74	10838	711733
75	10984	711665
76	11121	711069
77	11276	711556
78	11416	711162
79	11558	710820
80	11705	710863
81	11851	710782
82	11998	710828
83	12150	711084
84	12286	710427
85	12432	710412
86	12569	709843
87	12714	709700
88	12862	709749
89	13001	709300
90	13152	709515
91	13298	709421
92	13431	708679
93	13573	708414
94	13720	708412
95	13863	708171
96	14002	707759
97	14139	707271
98	14289	707381
99	14428	706980
100	14576	707020
101	14712	706487
102	14850	706047
103	14999	706130
104	15144	706033
105	15281	705547
106	15430	705603
107	15574	705444
108	15715	705180
109	15851	704692
110	15994	704466
111	16135	704190
112	16284	704283
113	16421	703829
114	16570	703878
115	16714	703758
116	16858	703576
117	16991	702967
118	17137	702941
119	17279	702687
120	17426	702672
121	17570	702543
122	17711	702284
123	17860	702317
124	18006	702242
125	18155	702296
126	18292	701876
127	18425	701334
128	18571	701240
129	18723	701412
130	18865	701205
131	19002	700793
132	19136	700297
133	19280	700149
134	19425	700051
135	19561	699608
136	19714	699781
137	19851	699415
138	19986	698951
139	20131	698842
140	20271	698589
141	20417	698504
142	20549	697978
143	20681	697410
144	20822	697191
145	20968	697115
146	21115	697083
147	21253	696754
148	21397	696647
149	21539	696455
150	21679	696198
151	21822	696029
152	21973	696112
153	22117	695995
154	22255	695669
155	22397	695485
156	22534	695124
157	22674	694874
158	22814	694624
159	22953	694329
160	23096	694185
161	23237	693978
162	23376	693680
163	23514	693401
164	23663	693423
165	23800	693079
166	23939	692813
167	24082	692666
168	24223	692458
169	24368	692343
170	24495	691748
171	24642	691700
172	24783	691509
173	24921	691216
174	25070	691233
175	25215	691137
176	25359	690997
177	25492	690588
178	25635	690444
179	25762	689870
180	25905	689705
181	26050	689618
182	26181	689152
183	26322	688972
184	26465	688826
185	26593	688283
186	26735	688119
187	26877	687956
188	27003	687379
189	27135	686945
190	27267	686543
191	27395	686040
192	27532	685735
193	27667	685417
194	27809	685247
195	27950	685060
196	28083	684689
197	28221	684447
198	28357	684131
199	28485	683642
200	28621	683357
201	28758	683079
202	28902	682979
203	29042	682781
204	29175	682426
205	29321	682370
206	29462	682202
207	29604	682038
208	29747	681922
209	29888	681746
210	30037	681758
211	30179	681594
212	30318	681373
213	30464	681333
214	30613	681335
215	30741	680874
216	30890	680862
217	31014	680322
218	31154	680125
219	31292	679908
220	31435	679765
221	31562	679308
222	31708	679244
223	31849	679074
224	31981	678713
225	32120	678513
226	32265	678420
227	32401	678162
228	32535	677841
229	32667	677502
230	32810	677369
231	32955	677286
232	33092	677038
233	33244	677117
234	33393	677101
235	33543	677123
236	33682	676919
237	33818	676653
238	33959	676484
239	34105	676433
240	34243	676211
241	34381	675982
242	34529	675950
243	34675	675881
244	34809	675589
245	34951	675442
246	35098	675402
247	35241	675277
248	35385	675174
249	35517	674841
250	35665	674798
251	35802	674569
252	35943	674407
253	36085	674249
254	36215	673890
255	36355	673709
256	36499	673612
257	36645	673542
258	36790	673457
259	36928	673234
260	37073	673141
261	37211	672937
262	37349	672723
263	37488	672518
264	37632	672413
265	37771	672223
266	37896	671770
267	38025	671412
268	38160	671134
269	38309	671127
270	38453	671013
271	38590	670792
272	38729	670594
273	38876	670547
274	39020	670448
275	39144	670003
276	39275	669671
277	39414	669481
278	39552	669269
279	39684	668972
280	39829	668872
281	39963	668614
282	40105	668470
283	40237	668176
284	40369	667868
285	40516	667820
286	40654	667618
287	40796	667477
288	40932	667248
289	41062	666912
290	41188	666514
291	41328	666344
292	41462	666093
293	41604	665948
294	41738	665701
295	41887	665677
296	42033	665604
297	42171	665396
298	42311	665243
299	42447	665012
300	42588	664864
301	42735	664800
302	42887	664826
303	43041	664870
304	43187	664802
305	43326	664617
306	43453	664257
307	43588	664020
308	43732	663910
309	43869	663698
310	44006	663491
311	44141	663254
312	44277	663032
313	44424	662978
314	44563	662789
315	44702	662612
316	44836	662360
317	44988	662379
318	45122	662123
319	45259	661920
320	45405	661846
321	45531	661481
322	45677	661411
323	45810	661144
324	45951	660988
325	46095	660885
326	46239	660786
327	46377	660593
328	46518	660443
329	46658	660291
330	46803	660196
331	46942	660018
332	47078	659807
333	47214	659586
334	47353	659417
335	47506	659440
336	47655	659398
337	47814	659503
338	47943	659183
339	48075	658910
340	48208	658662
341	48344	658445
342	48478	658209
343	48616	658014
344	48756	657862
345	48883	657521
346	49016	657267
347	49155	657101
348	49300	657014
349	49436	656801
350	49575	656626
